Numero_Processo,Tribunal,Data_Atualizacao,Status,Classe_Processual
40001014320268260103,TJSP,2026-04-28T01:52:34.339000Z,EM_ANDAMENTO,Carta Precatória Cível
40028247820268260606,TJSP,2026-04-28T01:52:34.457000Z,EM_ANDAMENTO,Procedimento do Juizado Especial Cível
40055122920258260224,TJSP,2026-04-28T01:52:34.681000Z,SUSPENSO,Petição Cível
00003822420228260486,TJSP,2026-04-28T01:52:34.738000Z,ARQUIVADO,Cumprimento de sentença
40031554520268260223,TJSP,2026-04-28T01:52:34.798000Z,ARQUIVADO,Reclamação Pré-processual
40500305420268260100,TJSP,2026-04-28T01:52:34.846000Z,BAIXADO,Procedimento Comum Cível
40026826420258260362,TJSP,2026-04-28T01:52:34.927000Z,SUSPENSO,Procedimento do Juizado Especial Cível
40002505620258260529,TJSP,2026-04-28T01:52:35.084000Z,ARQUIVADO,Procedimento do Juizado Especial Cível
40223226620258260002,TJSP,2026-04-28T01:52:35.192000Z,BAIXADO,Monitória
40060436420268260068,TJSP,2026-04-28T01:52:35.357000Z,EM_ANDAMENTO,Cumprimento de sentença
40022159220268260510,TJSP,2026-04-28T01:52:35.485000Z,BAIXADO,Embargos à Execução
40229640520268260002,TJSP,2026-04-28T01:52:35.617000Z,ARQUIVADO,Procedimento do Juizado Especial Cível
40500374620268260100,TJSP,2026-04-28T01:52:35.621000Z,SUSPENSO,Procedimento Comum Cível
40005138320268260099,TJSP,2026-04-28T01:52:35.947000Z,EM_ANDAMENTO,Procedimento Comum Cível
40229684220268260002,TJSP,2026-04-28T01:52:36.057000Z,ARQUIVADO,Procedimento do Juizado Especial Cível
40008989320258260510,TJSP,2026-04-28T01:52:36.167000Z,BAIXADO,Procedimento do Juizado Especial Cível
40448300620258260002,TJSP,2026-04-28T01:52:36.172000Z,ARQUIVADO,Procedimento Comum Cível
40093489420258260002,TJSP,2026-04-28T01:52:36.372000Z,BAIXADO,Procedimento Comum Cível
40016829620258260663,TJSP,2026-04-28T01:52:36.375000Z,EM_ANDAMENTO,Procedimento do Juizado Especial Cível
00029279120258260347,TJSP,2026-04-28T01:52:36.409000Z,EM_ANDAMENTO,Cumprimento de sentença
30049103120258190004,TJRJ,2026-05-12T13:08:33.665000Z,EM_ANDAMENTO,Execução Fiscal
30050169020258190004,TJRJ,2026-05-12T13:08:36.403000Z,EM_ANDAMENTO,Execução Fiscal
30001642320258190004,TJRJ,2026-05-12T13:08:42.396000Z,BAIXADO,Execução Fiscal
30002785920258190004,TJRJ,2026-05-12T13:08:47.033000Z,BAIXADO,Execução Fiscal
30006848020258190004,TJRJ,2026-05-12T13:08:54.661000Z,EM_ANDAMENTO,Execução Fiscal
30010857920258190004,TJRJ,2026-05-12T13:09:00.815000Z,ARQUIVADO,Execução Fiscal
30015395920258190004,TJRJ,2026-05-12T13:09:45.901000Z,ARQUIVADO,Execução Fiscal
30016807820258190004,TJRJ,2026-05-12T13:09:53.093000Z,SUSPENSO,Execução Fiscal
30032162720258190004,TJRJ,2026-05-12T13:09:57.650000Z,EM_ANDAMENTO,Execução Fiscal
30066381020258190004,TJRJ,2026-05-12T13:09:59.724000Z,SUSPENSO,Execução Fiscal
08192795420258190002,TJRJ,2026-05-12T13:10:29.968000Z,ARQUIVADO,Procedimento Comum Cível
30040919420258190004,TJRJ,2026-05-12T13:11:00.872000Z,ARQUIVADO,Execução Fiscal
30052801020258190004,TJRJ,2026-05-12T13:11:14.019000Z,EM_ANDAMENTO,Execução Fiscal
30055876120258190004,TJRJ,2026-05-12T13:11:25.987000Z,BAIXADO,Execução Fiscal
30078194620258190004,TJRJ,2026-05-12T13:11:58.625000Z,ARQUIVADO,Execução Fiscal
30077909320258190004,TJRJ,2026-05-12T13:12:10.642000Z,BAIXADO,Execução Fiscal
30090588520258190004,TJRJ,2026-05-12T13:13:08.071000Z,EM_ANDAMENTO,Execução Fiscal
08246968020248190209,TJRJ,2026-05-12T13:13:09.364000Z,EM_ANDAMENTO,Procedimento Comum Cível
30083901720258190004,TJRJ,2026-05-12T13:13:24.508000Z,ARQUIVADO,Execução Fiscal
30059479320258190004,TJRJ,2026-05-12T13:13:38.608000Z,ARQUIVADO,Execução Fiscal
10122784720268130105,TJMG,2026-05-26T23:22:50.871000Z,ARQUIVADO,Procedimento Comum Cível
10123209620268130105,TJMG,2026-05-26T23:22:50.871000Z,SUSPENSO,Procedimento Comum Cível
10063538020268130231,TJMG,2026-05-26T23:22:50.923000Z,BAIXADO,Execução Fiscal
10082759420268130672,TJMG,2026-05-26T23:22:50.923000Z,ARQUIVADO,Procedimento Comum Cível
10002100720268130092,TJMG,2026-05-26T23:22:50.937000Z,EM_ANDAMENTO,Procedimento Comum Cível
10053120820268130707,TJMG,2026-05-26T23:22:50.937000Z,EM_ANDAMENTO,Interdição/Curatela
10003702620268130191,TJMG,2026-05-26T23:22:50.938000Z,SUSPENSO,Procedimento do Juizado Especial Cível
10006585020268130392,TJMG,2026-05-26T23:22:50.938000Z,ARQUIVADO,Procedimento do Juizado Especial da Fazenda Pública
10153396520268130702,TJMG,2026-05-26T23:30:06.097000Z,ARQUIVADO,Procedimento Comum Cível
11101288720258130024,TJMG,2026-05-26T23:30:06.261000Z,BAIXADO,Procedimento Comum Cível
10007358320268130287,TJMG,2026-05-26T23:30:06.541000Z,ARQUIVADO,Execução Fiscal
10853891620268130024,TJMG,2026-05-26T23:30:06.634000Z,SUSPENSO,Procedimento Comum Cível
10008704020268130079,TJMG,2026-05-26T23:30:06.677000Z,EM_ANDAMENTO,Execução Fiscal
10829113520268130024,TJMG,2026-05-26T23:30:06.716000Z,BAIXADO,Procedimento Comum Cível
10838934920268130024,TJMG,2026-05-26T23:30:06.716000Z,EM_ANDAMENTO,Procedimento Comum Cível
10846651220268130024,TJMG,2026-05-26T23:30:06.717000Z,ARQUIVADO,Procedimento do Juizado Especial Cível
10849691120268130024,TJMG,2026-05-26T23:30:06.717000Z,ARQUIVADO,Procedimento do Juizado Especial Cível
10853051520268130024,TJMG,2026-05-26T23:30:06.717000Z,ARQUIVADO,Procedimento do Juizado Especial Cível
10164934720268130079,TJMG,2026-05-26T23:30:06.828000Z,SUSPENSO,Procedimento do Juizado Especial Cível
10035123220268130290,TJMG,2026-05-26T23:30:06.828000Z,EM_ANDAMENTO,Procedimento do Juizado Especial Cível
50054416620258210024,TJRS,2026-05-15T02:55:17.028000Z,EM_ANDAMENTO,Execução de Título Extrajudicial
50013036620198210024,TJRS,2026-05-15T02:55:17.030000Z,BAIXADO,Execução Fiscal
50013576620188210024,TJRS,2026-05-15T02:55:17.032000Z,EM_ANDAMENTO,Ação Civil Pública
50013686620168210024,TJRS,2026-05-15T02:55:17.037000Z,EM_ANDAMENTO,Procedimento Comum Cível
50014006620198210024,TJRS,2026-05-15T02:55:17.040000Z,BAIXADO,Execução Fiscal
50010736620158210023,TJRS,2026-05-15T02:55:17.100000Z,ARQUIVADO,Procedimento Comum Cível
50010946620208210023,TJRS,2026-05-15T02:55:17.101000Z,SUSPENSO,Embargos à Execução
50011376620218210023,TJRS,2026-05-15T02:55:17.103000Z,EM_ANDAMENTO,Procedimento Comum Cível
50011386620128210023,TJRS,2026-05-15T02:55:17.111000Z,ARQUIVADO,Cumprimento de sentença
50011706620158210023,TJRS,2026-05-15T02:55:17.116000Z,BAIXADO,Cumprimento de sentença
50012126620258210023,TJRS,2026-05-15T02:55:17.125000Z,EM_ANDAMENTO,Habilitação de Crédito
50001046620068210023,TJRS,2026-05-15T02:55:17.127000Z,SUSPENSO,Cumprimento de sentença
50001146620138210023,TJRS,2026-05-15T02:55:17.137000Z,BAIXADO,Cumprimento de sentença
50012466620108210023,TJRS,2026-05-15T02:55:17.138000Z,SUSPENSO,Execução Fiscal
50012676620158210023,TJRS,2026-05-15T02:55:17.148000Z,ARQUIVADO,Execução de Título Extrajudicial
